,createDt,deathCnt,decideCnt,seq,stateDt,stateTime,updateDt,accExamCnt,accDefRate
0,56:05.3,8058,3134456,803,20220228,0:00,null,,
1,54:59.1,7944,2994830,802,20220227,0:00,56:31.2,,
2,10:30.9,7895,2831275,801,20220226,0:00,56:10.4,,
3,19:35.5,7783,2665074,800,20220225,0:00,11:20.4,,
4,45:42.5,7689,2499187,799,20220224,0:00,19:57.6,,
5,12:48.9,7607,2329172,798,20220223,0:00,46:50.0,,
6,06:38.8,7508,2157730,797,20220222,0:00,13:50.7,,
7,05:08.3,7450,2058161,796,20220221,0:00,07:07.4,,
8,51:11.1,7405,1962822,795,20220220,0:00,05:39.0,,
9,00:04.1,7354,1858008,794,20220219,0:00,52:45.1,,
10,04:59.6,7283,1755798,793,20220218,0:00,00:52.1,,
11,52:05.1,7238,1645975,792,20220217,0:00,05:35.8,,
12,20:27.8,7202,1552843,791,20220216,0:00,52:33.6,,
13,01:44.8,7163,1462408,790,20220215,0:00,20:55.1,,
14,01:51.4,7102,1405244,789,20220214,0:00,02:24.9,,
15,50:26.8,7081,1350627,788,20220213,0:00,03:09.6,,
16,06:44.1,7045,1294199,787,20220212,0:00,50:59.6,,
17,37:42.0,7012,1239264,786,20220211,0:00,25:54.1,,
18,04:23.4,6963,1185361,785,20220210,0:00,06:18.1,,
19,37:00.1,6943,1131239,784,20220209,0:00,,,
20,14:20.0,6922,1081672,783,20220208,0:00,05:32.4,,
21,01:20.8,6886,1044955,782,20220207,0:00,05:22.3,,
22,21:40.1,6873,1009672,781,20220206,0:00,05:11.8,,
23,25:08.8,6858,970983,780,20220205,0:00,05:01.2,,
24,58:40.5,6836,934638,779,20220204,0:00,04:52.4,,
25,46:14.9,6812,907200,778,20220203,0:00,04:42.7,,
26,04:49.9,6787,884294,777,20220202,0:00,04:29.0,,
27,06:24.4,6772,864026,776,20220201,0:00,04:21.4,,
28,22:37.3,6755,845688,775,20220131,0:00,06:04.9,21518073,
29,13:00.3,6732,828611,774,20220130,0:00,05:54.9,21448119,
30,46:05.8,6712,811089,773,20220129,0:00,59:02.8,21377393,
31,04:52.6,6678,793576,772,20220128,0:00,58:55.4,21269304,
32,04:10.7,6654,777483,771,20220127,0:00,05:52.3,21196354,
33,59:34.4,6620,762969,770,20220126,0:00,06:04.5,21110639,
34,58:23.5,6588,749960,769,20220125,0:00,06:12.8,21026346,
35,59:37.8,6565,741390,768,20220124,0:00,06:21.7,20943638,
36,13:23.2,6540,733879,767,20220123,0:00,06:30.7,20892539,
37,26:15.5,6529,726253,766,20220122,0:00,06:40.2,20838500,
38,55:49.6,6501,719249,765,20220121,0:00,07:28.9,20765930,
39,15:13.3,6480,712483,764,20220120,0:00,07:20.2,20709568,
40,01:30.8,6452,705883,763,20220119,0:00,07:08.1,20649522,
41,03:38.3,6378,700080,762,20220118,0:00,07:01.6,20588481,
42,03:38.4,6333,696018,761,20220117,0:00,06:55.8,20527722,
43,31:40.9,6310,692164,760,20220116,0:00,06:48.8,20489023,
44,17:22.7,6281,687975,759,20220115,0:00,15:33.9,20446099,
45,59:27.9,6259,683556,758,20220114,0:00,03:44.3,20389154,
46,43:16.7,6210,679018,757,20220113,0:00,03:32.9,20329715,
47,08:49.6,6166,674854,756,20220112,0:00,03:23.0,20277357,
48,07:41.1,6114,670471,755,20220111,0:00,20:11.8,20215297,
49,06:03.1,6071,667379,754,20220110,0:00,07:18.4,20148476,
50,47:53.4,6037,664374,753,20220109,0:00,07:25.7,20099870,
51,38:42.1,5986,661003,752,20220108,0:00,07:34.0,20046220,
52,04:22.3,5932,657496,751,20220107,0:00,00:38.6,19971712,
53,59:04.4,5887,653783,750,20220106,0:00,00:27.2,19875047,
54,01:59.2,5838,649661,749,20220105,0:00,09:21.3,19778824,
55,04:35.5,5781,645220,748,20220104,0:00,09:14.7,19671880,
56,58:35.6,5730,642199,747,20220103,0:00,40:29.0,19546883,
57,57:24.7,5694,639074,746,20220102,0:00,40:16.8,19456900,
58,02:39.2,5625,635243,745,20220101,0:00,40:05.3,19364122,
59,04:09.3,5563,630828,744,20211231,0:00,39:49.9,19309072,
60,06:07.1,5455,625955,743,20211230,0:00,05:54.4,19251165,
61,56:23.0,5382,620921,742,20211229,0:00,05:44.5,19196738,
62,01:15.6,5346,615514,741,20211228,0:00,05:38.2,19141481,
63,59:50.6,5300,611650,740,20211227,0:00,05:27.2,19082135,
64,59:54.2,5245,607447,739,20211226,0:00,59:43.4,19040194,
65,33:26.8,5176,602034,738,20211225,0:00,55:55.6,18994820,
66,02:52.8,5071,596194,737,20211224,0:00,05:10.6,18929158,
67,52:40.5,5015,589961,736,20211223,0:00,05:02.9,18859285,
68,18:12.3,4906,583047,735,20211222,0:00,07:39.3,18786344,
69,01:45.7,4828,575595,734,20211221,0:00,57:08.9,18718803,
70,02:35.2,4776,570403,733,20211220,0:00,00:45.7,18645857,
71,00:28.8,4722,565087,732,20211219,0:00,00:35.0,18593165,
72,10:13.5,4644,558854,731,20211218,0:00,00:22.2,18539009,
73,07:20.0,4591,551544,730,20211217,0:00,35:15.5,18460563,
74,09:11.1,4518,544110,729,20211216,0:00,35:06.2,18381569,
75,02:08.1,4456,536491,728,20211215,0:00,34:57.5,18298675,
76,05:48.5,4386,528642,727,20211214,0:00,20:01.7,18224740,
77,00:10.9,4292,523075,726,20211213,0:00,19:51.8,18140572,
78,35:19.1,4252,517259,725,20211212,0:00,03:46.8,18084589,
79,19:00.0,4210,510578,724,20211211,0:00,,18024403,
80,04:53.8,4130,503601,723,20211210,0:00,08:03.4,17950721,
81,05:11.3,4077,496853,722,20211209,0:00,07:54.2,17870821,
82,56:34.5,4020,489478,721,20211208,0:00,07:45.8,17787657,
83,03:37.8,3957,482305,720,20211207,0:00,03:25.1,17709512,
84,00:01.2,3893,477352,719,20211206,0:00,35:42.8,17628218,
85,34:20.9,3852,473028,718,20211205,0:00,35:51.1,17577570,
86,08:47.5,3809,467903,717,20211204,0:00,50:19.0,17527015,
87,09:08.4,3739,462551,716,20211203,0:00,50:09.4,17457487,
88,20:16.0,3705,457607,715,20211202,0:00,50:00.2,17391434,
89,01:08.3,3658,452344,714,20211201,0:00,49:50.8,17329295,
90,02:25.8,3624,447222,713,20211130,0:00,49:40.1,17265258,
91,05:16.7,3580,444191,712,20211129,0:00,49:29.0,17200325,
92,58:53.4,3548,440884,711,20211128,0:00,06:50.2,17158535,
93,32:36.0,3492,436959,710,20211127,0:00,06:37.3,17115754,
94,03:04.0,3440,432892,709,20211126,0:00,06:24.1,17056003,
95,00:47.9,3401,428996,708,20211125,0:00,06:12.9,16998733,
96,08:22.1,3362,425059,707,20211124,0:00,06:01.8,16939923,
97,59:47.9,3328,420946,706,20211123,0:00,06:13.3,16878955,2.787908146
98,07:45.6,3298,418249,705,20211122,0:00,29:38.1,16816616,2.778248847
99,05:22.1,3274,415422,704,20211121,0:00,29:24.2,16777679,2.760822612
100,51:26.3,3244,412302,703,20211120,0:00,28:52.9,16740119,2.740177594
101,54:43.2,3215,409097,702,20211119,0:00,28:44.1,16684168,2.723426096
102,34:37.8,3187,406064,701,20211118,0:00,01:10.7,16631273,2.71061804
103,48:17.3,3158,402772,700,20211117,0:00,01:22.7,16575880,2.696496039
104,39:32.2,3137,399583,699,20211116,0:00,01:35.5,16525384,2.680340563
105,35:56.0,3115,397461,698,20211115,0:00,01:49.0,16470969,2.679055475
106,44:03.2,3103,395457,697,20211114,0:00,08:34.9,16440427,2.667294117
107,30:57.9,3083,393039,696,20211113,0:00,08:25.5,16408598,2.652746775
108,27:05.3,3051,390715,695,20211112,0:00,08:14.0,16361028,2.642385606
109,27:17.6,3033,388347,694,20211111,0:00,08:03.1,16312771,2.631058697
110,28:28.0,3012,385829,693,20211110,0:00,40:59.3,16261877,2.617731744
111,24:09.1,2998,383404,692,20211109,0:00,41:18.0,16212870,2.609523641
112,28:41.7,2980,381687,691,20211108,0:00,42:01.0,16160828,2.606709531
113,29:07.7,2967,379933,690,20211107,0:00,31:43.4,16130872,2.596390749
114,37:28.2,2956,377708,689,20211106,0:00,31:27.9,16099185,2.58226585
115,27:51.2,2936,375462,688,20211105,0:00,31:04.8,16051667,2.57577878
116,27:32.7,2916,373119,687,20211104,0:00,30:32.0,16001231,2.566815144
117,28:24.3,2892,370637,686,20211103,0:00,30:45.5,15953526,2.555691763
118,30:05.2,2874,367970,685,20211102,0:00,31:12.9,15905185,2.544507972
119,42:25.1,2858,366382,684,20211101,0:00,31:23.5,15849300,2.539874664
120,17:32.7,2849,364697,683,20211031,0:00,31:44.1,15804062,2.529614139
121,42:07.8,2830,362636,682,20211030,0:00,31:55.5,15775697,2.516686662
122,31:17.5,2817,360532,681,20211029,0:00,32:05.7,15730782,2.508556515
123,33:44.2,2808,358411,680,20211028,0:00,34:15.1,15678186,2.508290261
124,10:24.8,2797,356300,679,20211027,0:00,44:12.1,15628306,2.501909962
125,39:33.4,2788,354355,677,20211026,0:00,11:36.6,15579430,2.493247184
126,45:03.7,2773,353083,676,20211025,0:00,44:54.8,15530472,2.49313842
127,33:19.1,2766,351893,675,20211024,0:00,45:50.6,15504979,2.486767364
128,02:54.9,2745,350472,674,20211023,0:00,30:49.9,15481469,2.478203151
129,40:09.6,2725,348964,673,20211022,0:00,30:42.5,15437382,2.473130808
130,43:46.7,2709,347526,672,20211021,0:00,30:26.0,15392004,2.472189416
131,37:29.4,2698,346085,671,20211020,0:00,30:16.7,15344729,2.468580231
132,37:01.1,2689,344514,670,20211019,0:00,30:04.1,15296830,2.465558902
133,39:38.1,2668,343441,669,20211018,0:00,29:55.3,15246346,2.466224513
134,04:43.4,2660,342391,668,20211017,0:00,29:46.1,15220864,2.461751437
135,35:29.2,2644,340971,667,20211016,0:00,29:35.8,15198187,2.452154822
136,39:06.7,2626,339354,666,20211015,0:00,13:07.8,15152521,2.451385875
137,34:17.6,2618,337671,665,20211014,0:00,28:39.6,15106360,2.445150286
138,35:45.0,2605,335732,664,20211013,0:00,28:28.5,15062412,2.436982744
139,34:11.1,2594,334149,663,20211012,0:00,28:16.6,15007572,2.433579256
140,36:36.6,2583,332803,662,20211011,0:00,28:03.3,14977407,2.425384039
141,40:09.1,2575,331506,661,20211010,0:00,27:46.6,14951646,2.421531031
142,42:58.2,2560,329912,660,20211009,0:00,27:35.8,14925863,2.411859748
143,46:59.7,2554,327959,659,20211008,0:00,27:22.4,14882186,2.40274815
144,48:27.6,2544,325788,658,20211007,0:00,27:02.4,14833965,2.396517815
145,49:43.2,2536,323363,657,20211006,0:00,26:50.6,14780938,2.384482953
146,54:11.4,2524,321336,656,20211005,0:00,26:38.8,14731627,2.37971704
147,50:15.7,2513,319762,655,20211004,0:00,26:15.5,14701211,2.371238956
148,22:27.0,2507,318092,654,20211003,0:00,26:02.5,14675115,2.361092668
149,52:30.4,2504,316007,653,20211002,0:00,39:30.8,14644685,2.346849899
150,57:42.1,2497,313760,652,20211001,0:00,39:17.1,14596211,2.336751721
151,58:40.2,2481,311276,651,20210930,0:00,39:07.4,14544246,2.323893799
152,58:03.4,2474,308715,650,20210929,0:00,38:56.4,14485251,2.312881819
153,57:34.9,2464,305834,649,20210928,0:00,38:32.0,14425565,2.301204401
154,08:41.4,2456,303546,648,20210927,0:00,38:21.0,14365928,2.291636673
155,38:04.3,2450,301165,647,20210926,0:00,38:11.5,14325932,2.27653947
156,49:15.2,2441,298397,646,20210925,0:00,20:33.9,14285337,2.25560835
157,53:29.1,2434,295127,645,20210924,0:00,03:18.1,14221682,2.237305194
158,01:14.5,2427,292698,644,20210923,0:00,04:10.2,14151069,2.231550868
159,35:53.9,2419,290983,643,20210922,0:00,01:46.5,14112435,2.218798684
160,39:49.4,2413,289263,642,20210921,0:00,03:48.3,14081284,2.20552024
161,09:41.2,2409,287534,641,20210920,0:00,04:59.5,14050974,2.195344709
162,31:46.1,2403,285930,640,20210919,0:00,06:48.5,14020498,2.184628916
163,58:15.3,2394,284021,639,20210918,0:00,15:16.0,13986615,2.173282266
164,15:01.6,2389,281934,638,20210917,0:00,14:59.8,13938955,2.165770632
165,51:44.3,2386,279926,637,20210916,0:00,14:42.4,13890499,2.158191291
166,51:20.7,2380,277984,636,20210915,0:00,14:13.0,13839087,2.150752106
167,45:02.5,2367,275919,635,20210914,0:00,13:59.6,13790239,2.142920551
168,40:59.6,2360,274411,634,20210913,0:00,20:08.9,13735740,2.142162206
169,35:58.2,2359,272978,633,20210912,0:00,21:16.4,13704173,2.133681795
170,42:37.1,2358,271223,632,20210911,0:00,22:56.6,13665460,2.123843897
171,40:06.4,2348,269359,631,20210910,0:00,22:17.5,13615055,2.116540437
172,40:59.6,2343,267466,630,20210909,0:00,38:20.9,13568869,2.110860713
173,39:50.5,2334,265417,629,20210908,0:00,38:50.0,13519664,2.102950836
174,39:03.2,2330,263370,628,20210907,0:00,39:14.7,13468412,2.093323421
175,43:09.9,2327,261773,627,20210906,0:00,39:41.1,13416743,2.089933076
176,48:36.1,2321,260398,626,20210905,0:00,40:09.4,13382733,2.081845124
177,41:36.5,2315,258908,624,20210904,0:00,40:31.3,13350356,2.071293661
178,44:31.0,2308,257105,623,20210903,0:00,40:56.0,13286677,2.063198116
179,37:25.1,2303,255397,622,20210902,0:00,41:37.9,13223511,2.059060084
180,37:02.4,2292,253437,621,20210901,0:00,42:09.0,13152140,2.048611282
181,00:00.0,2285,251413,590,20210831,0:00,43:17.5,13094711,2.036809746
182,00:00.0,2284,250043,589,20210830,0:00,44:30.1,13049678,2.035704845
183,00:00.0,2279,248558,588,20210829,0:00,50:42.9,13015921,2.028493976
184,00:00.0,2276,246939,587,20210828,0:00,51:25.7,12983486,2.01742456
185,00:00.0,2265,245148,586,20210827,0:00,52:24.2,12927789,2.007877595
186,00:00.0,2257,243311,585,20210826,0:00,53:00.8,12866797,2.001538639
187,00:00.0,2237,241429,584,20210825,0:00,53:45.3,12806608,1.993794379
188,00:00.0,2228,239275,583,20210824,0:00,54:27.1,12749751,1.983781699
189,00:00.0,2222,237768,582,20210823,0:00,55:03.1,12694018,1.980611882
190,00:00.0,2215,236351,581,20210822,0:00,55:44.8,12664332,1.971911127
191,00:00.0,2202,234725,580,20210821,0:00,56:39.9,12632591,1.96183021
192,00:00.0,2197,232938,579,20210820,0:00,57:43.8,12567090,1.956229267
193,00:00.0,2191,230798,578,20210819,0:00,58:28.3,12518695,1.945043614
194,00:00.0,2178,228646,577,20210818,0:00,16:22.9,12461676,1.933262754
195,00:00.0,2173,226843,576,20210817,0:00,17:26.8,12404969,1.877172914
196,00:00.0,2167,225471,575,20210816,0:00,18:00.2,12372769,1.914414414
197,00:00.0,2156,223917,574,20210815,0:00,19:10.5,12344711,1.904124127
198,00:00.0,2148,222101,573,20210814,0:00,19:59.1,12309273,1.890773543
199,00:00.0,2144,220173,572,20210813,0:00,20:39.7,12257959,1.878861867
200,00:00.0,2138,218184,571,20210812,0:00,25:41.3,12207035,1.865308522
201,00:00.0,2135,216197,570,20210811,0:00,26:29.8,12156192,1.852885532
202,00:00.0,2134,213976,569,20210810,0:00,27:07.0,12112079,1.837309938
203,00:00.0,2125,212439,568,20210809,0:00,27:36.5,12057824,1.832900846
204,00:00.0,2121,210948,567,20210808,0:00,31:36.7,12027437,1.82462691
205,00:00.0,2116,209221,566,20210807,0:00,30:51.5,11995923,1.811282604
206,00:00.0,2113,207398,565,20210806,0:00,30:51.5,11951646,1.799611891
207,00:00.0,2109,205694,564,20210805,0:00,30:51.5,11908430,1.789742069
208,00:00.0,2106,203919,563,20210804,0:00,30:51.5,11864240,1.77841233
209,00:00.0,2104,202194,562,20210803,0:00,30:51.5,11820011,1.765622622
210,00:00.0,2099,200994,561,20210802,0:00,30:51.5,11772599,1.765361674
211,00:00.0,2098,199776,560,20210801,0:00,30:51.5,11751780,1.756553576
212,00:00.0,2095,198334,559,20210731,0:00,30:51.5,11728815,1.745957213
213,00:00.0,2089,196796,558,20210730,0:00,30:51.5,11682962,1.737598412
214,00:00.0,2085,195086,557,20210729,0:00,30:51.5,11637500,1.727162415
215,00:00.0,2083,193413,556,20210728,0:00,30:51.5,11585607,1.717447696
216,00:00.0,2079,191518,555,20210727,0:00,30:51.5,11528602,1.707057587
217,00:00.0,2077,190155,554,20210726,0:00,30:51.5,11472339,1.699126896
218,00:00.0,2073,188837,553,20210725,0:00,30:51.5,11453340,1.689275533
219,00:00.0,2068,187350,552,20210724,0:00,30:51.5,11430518,1.67939231
220,00:00.0,2066,185723,551,20210723,0:00,30:51.5,11388299,1.671630834
221,00:00.0,2063,184094,550,20210722,0:00,30:51.5,11343913,1.662335814
222,00:00.0,2060,182253,549,20210721,0:00,30:51.5,11298669,1.649873688
223,00:00.0,2059,180472,548,20210720,0:00,30:51.5,11251982,1.639564831
224,00:00.0,2058,179194,547,20210719,0:00,30:51.5,11202429,1.634722225
225,00:00.0,2057,177943,546,20210718,0:00,30:51.5,11175977,1.630927675
226,00:00.0,2055,176490,545,20210717,0:00,30:51.5,11149223,1.615973942
227,00:00.0,2051,175041,544,20210716,0:00,30:51.5,11108582,1.60729781
228,00:00.0,2050,173506,543,20210715,0:00,30:51.5,11060454,1.598253496
229,00:00.0,2048,171907,542,20210714,0:00,30:51.5,11008857,1.587769115
230,00:00.0,2046,170294,541,20210713,0:00,30:51.5,10964297,1.578964888
231,00:00.0,2044,169144,540,20210712,0:00,30:51.5,10919896,1.574131766
232,00:00.0,2043,168044,539,20210711,0:00,30:51.5,10902276,1.566666486
233,00:00.0,2038,166720,538,20210710,0:00,30:51.5,10881638,1.556397131
234,00:00.0,2036,165342,537,20210709,0:00,30:51.5,10844215,1.547603102
235,00:00.0,2034,164026,536,20210708,0:00,30:51.5,10802780,1.539915705
236,00:00.0,2033,162751,535,20210707,0:00,30:51.5,10766500,1.531954059
237,00:00.0,2032,161540,534,20210706,0:00,30:51.5,10735715,1.52482307
238,00:00.0,2028,160794,533,20210705,0:00,30:51.5,10700133,1.521915262
239,00:00.0,2026,160083,532,20210704,0:00,30:51.5,10685124,1.517543135
240,00:00.0,2025,159340,531,20210703,0:00,30:51.5,10670616,1.512237172
241,00:00.0,2024,158546,530,20210702,0:00,30:51.5,10641601,1.508391023
242,00:00.0,2021,157721,529,20210701,0:00,30:51.5,10614315,1.503624138
243,00:00.0,2018,156960,528,20210630,0:00,30:51.5,10579071,1.499862255
244,00:00.0,2017,156166,527,20210629,0:00,30:51.5,10555740,1.496003116
245,00:00.0,2015,155571,526,20210628,0:00,30:51.5,10520928,1.495000281
246,00:00.0,2013,155070,525,20210627,0:00,30:51.5,10508677,1.492162323
247,00:00.0,2012,154456,524,20210626,0:00,30:51.5,10495515,1.487880387
248,00:00.0,2009,153788,523,20210625,0:00,30:51.5,10466544,1.486685106
249,00:00.0,2008,153154,522,20210624,0:00,30:51.5,10438781,1.484365384
250,00:00.0,2007,152544,521,20210623,0:00,30:51.5,10409948,1.483868388
251,00:00.0,2006,151899,520,20210622,0:00,30:51.5,10380042,1.481520134
252,00:00.0,2004,151505,519,20210621,0:00,30:51.5,10346046,1.48278272
